Date,User_ID,Food_Item,Category,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Cholesterol (mg),Meal_Type,Water_Intake (ml)
2024-01-01,202,Salmon,Meat,326,30.4,66.3,23.3,10.9,4.8,406,187.3,Dinner,323.2
2024-01-02,535,Eggs,Meat,210,8.5,31.2,16.3,11.6,28.5,230,88.7,Dinner,518.8
2024-01-03,960,Tofu,Plant-Based,509,3.3,52.0,49.7,1.1,30.4,748,31.6,Lunch,703.0
2024-01-04,370,Tofu,Plant-Based,363,47.4,54.7,21.4,5.4,22.5,654,137.0,Snack,363.6
2024-01-05,206,Chicken Breast,Meat,71,48.3,18.5,16.9,1.7,30.8,170,65.5,Dinner,971.8
2024-01-06,171,Rice,Grains,302,40.4,97.0,32.6,12.9,19.8,540,125.0,Breakfast,962.4
2024-01-07,800,Salmon,Meat,524,15.2,77.5,8.5,9.3,20.9,35,265.0,Lunch,251.8
2024-01-08,120,Banana,Fruits,108,4.9,93.9,48.1,5.0,17.1,524,97.3,Breakfast,497.2
2024-01-09,714,Tofu,Plant-Based,560,34.2,89.5,4.5,1.0,1.0,159,36.6,Breakfast,300.9
2024-01-10,221,Eggs,Meat,525,22.0,59.8,59.2,4.7,4.3,838,106.9,Dinner,284.8
2024-01-11,566,Rice,Grains,239,6.1,92.2,46.3,4.9,1.3,698,272.0,Lunch,36.9
2024-01-12,314,Rice,Grains,293,24.8,8.8,11.9,10.9,25.5,242,81.6,Snack,609.6
2024-01-13,430,Banana,Fruits,554,1.7,19.6,0.3,9.6,12.6,85,194.3,Snack,502.7
2024-01-14,558,Tofu,Plant-Based,180,45.5,4.5,48.9,13.3,20.3,795,0.2,Dinner,51.5
2024-01-15,187,Eggs,Meat,534,12.9,32.5,42.4,7.1,36.3,577,105.8,Dinner,278.6
