Date,User_ID,Food_Item,Category,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Cholesterol (mg),Meal_Type,Water_Intake (ml)
2024-09-11,496,Eggs,Meat,173,42.4,83.7,1.5,1.5,12.7,752,125.0,Lunch,478.0
,201,Apple,Fruits,66,39.2,,3.2,2.6,12.2,680,97.0,Lunch,466.0
2024-06-09,776,Chicken Breast,Meat,226,27.1,79.1,25.8,,44.7,295,157.0,Breakfast,635.0
2024-08-27,112,Banana,Fruits,116,43.4,47.1,16.1,6.5,44.1,307,13.0,Snack,379.0
2024-07-28,622,Banana,Fruits,500,33.9,75.8,47.0,7.8,19.4,358,148.0,Lunch,471.0
2024-01-19,620,Oats,Grains,387,31.2,,39.5,5.1,0.7,300,244.0,Dinner,727.0
2024-07-27,714,Carrot,Vegetables,138,28.2,12.4,20.2,2.8,37.8,933,15.0,Dinner,733.0
2024-10-21,992,,Snacks,69,36.8,17.8,15.0,9.6,,185,228.0,Snack,
2024-07-23,535,Apple,Fruits,568,6.7,7.0,23.4,6.4,46.9,336,129.0,Breakfast,931.0
2024-09-08,594,Quinoa,Grains,204,19.3,62.7,31.8,6.8,40.3,887,135.0,Snack,662.0
2024-01-01,856,Oats,Grains,108,40.6,13.9,12.2,9.3,44.7,530,194.0,Lunch,624.0
2024-07-13,621,Tomato,Vegetables,117,34.4,,10.1,9.1,18.5,66,180.0,Dinner,799.0
2024-08-28,74,Orange Juice,Beverages,147,20.1,32.7,8.9,7.0,42.4,500,250.0,Snack,661.0
2024-03-07,634,Cookies,Snacks,468,23.7,89.2,3.1,6.3,31.3,342,,Lunch,607.0
2024-08-23,151,Beef Steak,Meat,157,,32.4,9.4,0.5,24.6,180,68.0,Lunch,724.0
